%	"NGRIP, GRIP and GISP2 ?18O and calcium concentration in 50 yrs means on the GICC05modelext timescale"
%
%   Please note that this file has been modified for the SEAMUS tutorial by Bryan Lougheed (duplicate measurements averaged)
%   This file is, therefore, only meant for demonstration purposes for the SEAMUS tutorial and not to be used for research.
%   For the original data, please consult the original excel file by the original authors, which you can download from here: http://www.iceandclimate.nbi.ku.dk/data/
%
%	2	3	4	5	6	7	8	9	10	11	12	13
%Age	NGRIP1 depth	d18O NGRIP1	NGRIP2 depth	d18O NGRIP2	[Ca2+] NGRIP2	GRIP depth	d18O GRIP	[Ca2+] GRIP	GISP2 depth	d18O GISP2	[Ca2+] GISP2	MCE
%(years b2k)	(m)	(?)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(years)
88050	NaN	NaN	2722.1	-39.57	44.68	2666.34	-38.63	46.47	2693.86	-38.79	44.46	NaN
88100	NaN	NaN	2722.66	-39.04	40.13	2666.61	-38.05	40.74	2694.11	-38.12	33.75	NaN
88150	NaN	NaN	2723.22	-38.73	33.34	2666.89	-38.67	34.03	2694.36	-38.32	29.89	NaN
88200	NaN	NaN	2723.78	-39.47	42.19	2667.18	-38.46	40.75	2694.61	-38.38	25.98	NaN
88250	NaN	NaN	2724.36	-39.87	44	2667.47	-38.83	41.08	2694.87	-38.44	33.28	NaN
88300	NaN	NaN	2724.94	-38.85	38.42	2667.77	-38.45	43.48	2695.13	-38.52	31.91	NaN
88350	NaN	NaN	2725.53	-38.72	37.26	2668.07	-38.32	41.52	2695.39	-37.93	31.68	NaN
88400	NaN	NaN	2726.13	-38.25	30.37	2668.38	-38.26	40.27	2695.66	-37.66	27.97	NaN
88450	NaN	NaN	2726.73	-38.9	33.38	2668.69	-38.12	34.49	2695.93	-37.89	26.07	NaN
88500	NaN	NaN	2727.33	-39.06	33.36	2669	-38.57	38.41	2696.19	-37.84	27.93	NaN
88550	NaN	NaN	2727.93	-38.82	31.95	2669.31	-37.56	39.24	2696.46	-37.96	28.95	NaN
88600	NaN	NaN	2728.54	-38.71	31.31	2669.62	-38.27	36.73	2696.73	-38.2	26.16	NaN
88650	NaN	NaN	2729.16	-38.31	29.74	2669.94	-37.89	31.69	2697.01	-38.25	26.05	NaN
88700	NaN	NaN	2729.77	-38.3	25.93	2670.25	-38.04	36.71	2697.28	-38.03	25.24	NaN
88750	NaN	NaN	2730.37	-38.91	28.97	2670.56	-38.48	35	2697.54	-38.25	27.68	NaN
88800	NaN	NaN	2730.94	-38.92	29.94	2670.86	-38.03	32.48	2697.8	-38.35	28.02	NaN
88850	NaN	NaN	2731.51	-39.08	37	2671.15	-38.8	25.56	2698.05	-39.04	37.17	NaN
88900	NaN	NaN	2732.07	-40.21	40.37	2671.44	-39.2	28.69	2698.3	-38.73	30.2	NaN
88950	NaN	NaN	2732.65	-39.16	27.45	2671.74	-38.64	21.64	2698.56	-38.6	22.36	NaN
89000	NaN	NaN	2733.24	-38.48	23.6	2672.04	-37.97	17.81	2698.82	-37.98	18.38	NaN
89050	NaN	NaN	2733.86	-38.26	28.31	2672.38	-38.41	22.25	2699.1	-38.07	20.97	NaN
89100	NaN	NaN	2734.48	-38.21	21.44	2672.73	-37.63	14.28	2699.38	-37.8	20.29	NaN
89150	NaN	NaN	2735.13	-38.49	21.75	2673.07	-37.78	14.89	2699.68	-37.86	23.75	NaN
89200	NaN	NaN	2735.76	-38.26	23.31	2673.38	-37.87	14.98	2699.97	-38.23	23.65	NaN
89250	NaN	NaN	2736.39	-38.18	31.11	2673.7	-37.95	17.18	2700.26	-38.05	22.84	NaN
89300	NaN	NaN	2737.02	-38.64	33.76	2674.01	-38.29	16.27	2700.54	-38.11	26.56	NaN
89350	NaN	NaN	2737.67	-38.27	24.26	2674.33	-37.67	14.7	2700.84	-37.33	20.44	NaN
89400	NaN	NaN	2738.32	-37.76	25.83	2674.68	-37.94	14.91	2701.1	-37.38	20.85	NaN
89450	NaN	NaN	2738.98	-37.82	23.55	2675.04	-37.85	13.1	2701.36	-37.63	23.56	NaN
89500	NaN	NaN	2739.64	-38.01	24	2675.4	-37.55	11.8	2701.63	-37.69	24.7	NaN
89550	NaN	NaN	2740.31	-37.85	26.63	2675.76	-37.72	14.49	2701.89	-37.79	24.04	NaN
89600	NaN	NaN	2740.97	-38.18	27.27	2676.11	-37.42	17.02	2702.15	-37.77	24.84	NaN
89650	NaN	NaN	2741.64	-37.65	23.49	2676.48	-37.82	12.71	2702.42	-37.69	28.29	NaN
89700	NaN	NaN	2742.31	-37.65	23.59	2676.84	-37.94	12.12	2702.68	-37.47	25.85	NaN
89750	NaN	NaN	2742.96	-38.13	22.37	2677.19	-37.71	14.51	2702.94	-37.7	22.94	NaN
89800	NaN	NaN	2743.58	-37.98	25.27	2677.52	-37.59	15.32	2703.19	-38.06	26.41	NaN
89850	NaN	NaN	2744.21	-39.16	31.83	2677.86	-38.41	18.72	2703.44	-38.09	31.29	NaN
89900	NaN	NaN	2744.82	-38.34	22.26	2678.19	-38.51	18.01	2703.68	-38.57	33.05	NaN
89950	NaN	NaN	2745.45	-38.15	23.85	2678.53	-37.76	13.04	2703.93	-38.42	28.81	NaN
90000	NaN	NaN	2746.07	-37.81	25.17	2678.87	-37.77	17.07	2704.17	-37.91	28.92	NaN
90050	NaN	NaN	2746.65	-38.28	35.01	2679.16	-38.55	34.47	2704.37	-38.19	36.98	NaN
90100	NaN	NaN	2747.16	-39.89	38.58	2679.4	-39.69	56.19	2704.54	-39.91	59.45	NaN
90150	NaN	NaN	2747.64	-40.32	51.01	2679.62	-39.3	55.45	2704.69	-39.68	51.96	NaN
90200	NaN	NaN	2748.1	-39.84	41.11	2679.86	-38.82	38.64	2704.85	-39.12	45.16	NaN
90250	NaN	NaN	2748.56	-39.55	37.29	2680.12	-38.83	35.47	2705.03	-38.8	46.72	NaN
90300	NaN	NaN	2749.01	-39.87	33.66	2680.37	-39.77	38.39	2705.21	-39.42	44.17	NaN
90350	NaN	NaN	2749.48	-39.84	36.59	2680.62	-38.68	36.11	2705.39	-39.03	40.73	NaN
90400	NaN	NaN	2749.95	-39.89	40.33	2680.88	-38.88	41.38	2705.57	-39.04	40.73	NaN
90450	NaN	NaN	2750.43	-39.4	33.86	2681.15	-39.06	41.01	2705.75	-39.03	38.75	NaN
90500	NaN	NaN	2750.9	-39.46	34.45	2681.41	-39.01	43.91	2705.94	-38.92	35.53	NaN
90550	NaN	NaN	2751.39	-39.19	41.7	2681.68	-39.24	49.11	2706.13	-38.9	37.5	NaN
90600	NaN	NaN	2751.87	-39.75	34.81	2681.95	-38.96	41.72	2706.31	-38.88	38.94	NaN
90650	NaN	NaN	2752.35	-39.6	35.18	2682.21	-39.33	40.58	2706.5	-38.77	36.28	NaN
90700	NaN	NaN	2752.82	-39.56	33.73	2682.47	-39.34	36.76	2706.68	-39.26	35.54	NaN
90750	NaN	NaN	2753.3	-39.43	32.22	2682.74	-39.59	44.67	2706.86	-39.82	38.24	NaN
90800	NaN	NaN	2753.77	-39.71	38.22	2683	-39.74	52.2	2707.04	-39.47	39.49	NaN
90850	NaN	NaN	2754.25	-39.68	34.57	2683.26	-39.05	39.77	2707.23	-39.44	39.22	NaN
90900	NaN	NaN	2754.72	-39.58	37.55	2683.52	-39.55	41.87	2707.41	-39.28	35.95	NaN
90950	NaN	NaN	2755.2	-39.43	36.34	2683.79	-39.52	32.95	2707.6	-38.69	37.68	NaN
91000	NaN	NaN	2755.68	-39.12	33.27	2684.05	-38.88	37.91	2707.78	-39.35	45.3	NaN
91050	NaN	NaN	2756.17	-39.55	38.84	2684.32	-39.08	40.01	2707.97	-39.05	35.48	NaN
91100	NaN	NaN	2756.65	-39.5	42.18	2684.59	-39.07	46.91	2708.16	-38.73	37.61	NaN
91150	NaN	NaN	2757.14	-39.4	40.19	2684.86	-39.6	59.11	2708.36	-39.28	47.34	NaN
91200	NaN	NaN	2757.62	-39.61	42.66	2685.12	-39.49	47.71	2708.57	-39.68	44.21	NaN
91250	NaN	NaN	2758.1	-39.04	40.09	2685.38	-39.63	43.54	2708.77	-39.38	38.71	NaN
91300	NaN	NaN	2758.58	-39.51	37.45	2685.64	-39.32	42.52	2708.98	-39.39	32.42	NaN
91350	NaN	NaN	2759.05	-39.63	34.85	2685.89	-39.19	38.38	2709.18	-38.75	29.29	NaN
91400	NaN	NaN	2759.52	-39.56	34.52	2686.15	-39.29	42.62	2709.38	-39.39	32.33	NaN
91450	NaN	NaN	2759.98	-39.99	32.06	2686.4	-39.5	46.36	2709.58	-39.39	35.49	NaN
91500	NaN	NaN	2760.44	-39.69	37.18	2686.65	-39.76	50.44	2709.78	-39.53	38.44	NaN
91550	NaN	NaN	2760.89	-40.02	35.09	2686.89	-40.08	55.98	2709.97	-39.86	41.96	NaN
91600	NaN	NaN	2761.35	-39.64	34.84	2687.14	-39.55	54.59	2710.17	-39.19	38.63	NaN
91650	NaN	NaN	2761.81	-39.96	38.28	2687.42	-40.14	48.61	2710.36	-38.9	36.95	NaN
91700	NaN	NaN	2762.27	-39.85	41.6	2687.7	-39.27	44.8	2710.56	-39.63	38.3	NaN
91750	NaN	NaN	2762.75	-39.67	42.9	2687.99	-39.67	37.29	2710.77	-39.97	40.24	NaN
91800	NaN	NaN	2763.22	-39.38	42.98	2688.28	-39.61	31.39	2710.97	-39.57	37.57	NaN
91850	NaN	NaN	2763.7	-38.75	40.53	2688.56	-39.6	37.26	2711.22	-39.64	34.09	NaN
91900	NaN	NaN	2764.18	-39.39	35.65	2688.84	-39.73	34.6	2711.48	-39.85	36.97	NaN
91950	NaN	NaN	2764.67	-39.84	40.63	2689.12	-39.31	32.39	2711.74	-39.2	39.61	NaN
92000	NaN	NaN	2765.13	-39.77	35.37	2689.39	-39.36	35.31	2711.99	-38.99	30.89	NaN
92050	NaN	NaN	2765.6	-39.63	37.81	2689.66	-39.19	38.51	2712.24	-39.62	34.07	NaN
92100	NaN	NaN	2766.06	-39.57	42.03	2689.93	-39.29	38.63	2712.48	-39.23	32.45	NaN
92150	NaN	NaN	2766.52	-39.62	38.45	2690.2	-39.63	44.33	2712.73	-39.78	39.54	NaN
92200	NaN	NaN	2766.98	-39.42	79.46	2690.47	-39.65	44.17	2712.97	-39.69	41.15	NaN
92250	NaN	NaN	2767.44	-40.43	46.56	2690.74	-40.02	33.15	2713.22	-38.96	34.91	NaN
92300	NaN	NaN	2767.9	-39.95	38.59	2691	-39.34	30.65	2713.46	-39.66	36.05	NaN
92350	NaN	NaN	2768.37	-39.17	40.56	2691.28	-39.28	31.58	2713.71	-39.21	31.21	NaN
92400	NaN	NaN	2768.83	-39.5	38.75	2691.53	-39.38	33.89	2713.99	-39.76	33.99	NaN
92450	NaN	NaN	2769.31	-39.83	44.08	2691.78	-39.51	32.05	2714.27	-38.78	35.46	NaN
92500	NaN	NaN	2769.78	-39.04	37.99	2692.01	-38.84	28.14	2714.52	-39.03	31.63	NaN
92550	NaN	NaN	2770.25	-39.73	38.28	2692.25	-39.51	26.87	2714.78	-39.4	36.13	NaN
92600	NaN	NaN	2770.72	-39.55	36.58	2692.48	-39.55	28.85	2715.03	-39.02	38.63	NaN
92650	NaN	NaN	2771.18	-39.84	37.1	2692.72	-39.65	29.98	2715.26	-39.41	34.98	NaN
92700	NaN	NaN	2771.64	-39.68	36.85	2692.95	-39.12	26.13	2715.49	-39.52	40.69	NaN
92750	NaN	NaN	2772.1	-39.39	35.97	2693.19	-39.63	29.38	2715.72	-39.53	40.88	NaN
92800	NaN	NaN	2772.55	-39.63	31.82	2693.42	-39.55	33.38	2715.95	-39.86	37.21	NaN
92850	NaN	NaN	2773	-39.81	33.74	2693.66	-40.11	34.04	2716.17	-39.49	38.34	NaN
92900	NaN	NaN	2773.44	-40.49	41.95	2693.88	-39.83	38.78	2716.39	-40.09	39.82	NaN
92950	NaN	NaN	2773.89	-40.28	41.97	2694.11	-39.69	39.33	2716.62	-40.47	40.14	NaN
93000	NaN	NaN	2774.32	-39.64	36.86	2694.34	-39.42	31.37	2716.83	-39.37	36.42	NaN
93050	NaN	NaN	2774.76	-39.96	35.84	2694.56	-39.61	31.22	2717.05	-39.34	35.55	NaN
93100	NaN	NaN	2775.2	-39.94	38.36	2694.79	-39.44	32.58	2717.27	-39.84	31.24	NaN
93150	NaN	NaN	2775.65	-40.05	31.97	2695.01	-39.43	30.16	2717.49	-39.38	35.54	NaN
93200	NaN	NaN	2776.1	-39.48	33.24	2695.24	-39.73	34.93	2717.72	-39.23	34.24	NaN
93250	NaN	NaN	2776.56	-40.18	36.08	2695.47	-39.44	35.21	2717.95	-39.27	33.68	NaN
93300	NaN	NaN	2777.01	-39.3	36.68	2695.7	-39.31	30.94	2718.17	-39.26	35.89	NaN
93350	NaN	NaN	2777.48	-39.46	35.72	2695.93	-39.42	26.77	2718.4	-39.38	32.43	NaN
93400	NaN	NaN	2777.94	-39.8	33.47	2696.17	-39.77	23.03	2718.56	-39.51	29.24	NaN
93450	NaN	NaN	2778.4	-39.9	35.84	2696.41	-39.79	27.99	2718.73	-39.38	28.61	NaN
93500	NaN	NaN	2778.86	-39.62	32.96	2696.65	-39.56	32.2	2718.9	-39.36	30.21	NaN
93550	NaN	NaN	2779.33	-39.46	40.4	2696.9	-39.84	33.32	2719.07	-39.24	33.21	NaN
93600	NaN	NaN	2779.8	-39.89	34.79	2697.14	-39.24	28.96	2719.24	-38.95	35.29	NaN
93650	NaN	NaN	2780.27	-38.94	32.72	2697.38	-38.99	28.28	2719.41	-38.66	33.43	NaN
93700	NaN	NaN	2780.73	-39.83	33.66	2697.62	-38.77	32.04	2719.58	-39.33	30.79	NaN
93750	NaN	NaN	2781.19	-39.74	36.32	2697.86	-39.38	34.52	2719.75	-39.02	26.9	NaN
93800	NaN	NaN	2781.65	-39.96	39.79	2698.1	-40.01	53.31	2719.92	-39.42	35.08	NaN
93850	NaN	NaN	2782.12	-39.34	35.17	2698.35	-39.5	32.17	2720.09	-39.39	34.19	NaN
93900	NaN	NaN	2782.58	-39.93	31.17	2698.62	-39.57	29.58	2720.26	-39.23	31.68	NaN
93950	NaN	NaN	2783.07	-39.29	34.29	2698.89	-39.08	33	2720.43	-39.2	33.54	NaN
94000	NaN	NaN	2783.54	-39	29.06	2699.13	-39.12	25.63	2720.6	-38.66	29.41	NaN
94050	NaN	NaN	2784.03	-39.2	35.85	2699.37	-39.36	33.27	2720.77	-39.12	32.29	NaN
94100	NaN	NaN	2784.52	-39.44	31.66	2699.62	-39.34	27.65	2720.94	-39.24	32.29	NaN
94150	NaN	NaN	2785.01	-39.29	32.05	2699.86	-39.24	27.42	2721.11	-39.25	30.64	NaN
94200	NaN	NaN	2785.49	-38.77	30.66	2700.1	-39.33	26.86	2721.28	-39.28	30.26	NaN
94250	NaN	NaN	2785.98	-39.33	30.39	2700.35	-39.08	31.16	2721.45	-39.21	30.26	NaN
94300	NaN	NaN	2786.46	-39.28	32.12	2700.59	-39.12	35.84	2721.62	-39.02	29.52	NaN
94350	NaN	NaN	2786.94	-39.96	30.58	2700.83	-39.44	34.71	2721.79	-39.38	34.66	NaN
94400	NaN	NaN	2787.4	-39.38	34.95	2701.06	-39.52	41.83	2721.95	-39.37	31.88	NaN
94450	NaN	NaN	2787.87	-39.61	35.32	2701.3	-39.45	30.15	2722.11	-38.7	31.69	NaN
94500	NaN	NaN	2788.33	-39.51	34.29	2701.53	-39.13	29.57	2722.27	-38.57	31.61	NaN
94550	NaN	NaN	2788.79	-39.43	29.68	2701.76	-39.2	25.78	2722.43	-38.82	31.84	NaN
94600	NaN	NaN	2789.25	-39.51	34.45	2701.97	-39.63	45.04	2722.56	-38.88	33.3	NaN
94650	NaN	NaN	2789.72	-40.09	40.36	2702.18	-39.79	44	2722.68	-38.84	34.75	NaN
94700	NaN	NaN	2790.18	-39.64	32.32	2702.38	-39.14	30.53	2722.8	-38.82	35.47	NaN
94750	NaN	NaN	2790.65	-39.47	24.92	2702.59	-39.1	37.21	2722.91	-38.4	30.01	NaN
94800	NaN	NaN	2791.12	-39	29	2702.79	-39.34	35.39	2723.03	-38.49	31.77	NaN
94850	NaN	NaN	2791.61	-39.03	26.25	2703.01	-38.78	36.53	2723.16	-38.74	37.06	NaN
94900	NaN	NaN	2792.09	-39.91	32.93	2703.22	-39.18	37.31	2723.28	-38.9	32.76	NaN
94950	NaN	NaN	2792.58	-38.96	31.24	2703.44	-38.93	38.63	2723.4	-38.98	30.61	NaN
95000	NaN	NaN	2793.06	-39.18	32.55	2703.65	-39.87	48.33	2723.52	-39.3	33.77	NaN
95050	NaN	NaN	2793.56	-39.36	34.92	2703.88	-39.97	34.07	2723.65	-39.25	33.81	NaN
95100	NaN	NaN	2794.05	-39.22	35.51	2704.11	-39.24	34.8	2723.77	-39.16	33.87	NaN
95150	NaN	NaN	2794.55	-38.49	29.56	2704.34	-38.25	33.15	2723.89	-39.23	32.51	NaN
95200	NaN	NaN	2795.04	-38.99	26.72	2704.56	-39.24	32	2724.02	-39.11	32.06	NaN
95250	NaN	NaN	2795.54	-39.28	30.31	2704.79	-39.96	36.43	2724.14	-38.33	32.06	NaN
95300	NaN	NaN	2796.04	-39.37	33.09	2705.02	-39.22	29.66	2724.27	-38.91	37.15	NaN
95350	NaN	NaN	2796.54	-38.75	34.14	2705.25	-38.41	27.15	2724.39	-39.4	41.51	NaN
95400	NaN	NaN	2797.03	-38.64	27.02	2705.47	-38.63	29.95	2724.52	-38.38	28.63	NaN
95450	NaN	NaN	2797.53	-39.23	29.85	2705.7	-39.01	26.06	2724.64	-38.37	28.61	NaN
95500	NaN	NaN	2798.03	-39.2	29.44	2705.94	-38.73	30.09	2724.77	-38.52	30.71	NaN
95550	NaN	NaN	2798.53	-39.17	26.13	2706.2	-38.76	30.03	2724.89	-38.52	29.97	NaN
95600	NaN	NaN	2799.03	-39.2	30.81	2706.46	-39.03	29.33	2725.02	-38.55	28.92	NaN
95650	NaN	NaN	2799.53	-38.66	32.34	2706.7	-39.24	26.58	2725.14	-38.73	26.58	NaN
95700	NaN	NaN	2800.04	-38.69	30.65	2706.94	-38.73	30.05	2725.27	-38.73	26.87	NaN
95750	NaN	NaN	2800.56	-38.86	27.13	2707.18	-38.61	30.49	2725.4	-38.73	27.11	NaN
95800	NaN	NaN	2801.08	-38.61	33.29	2707.42	-38.91	33.67	2725.53	-39.09	33.53	NaN
95850	NaN	NaN	2801.6	-38.65	29.94	2707.71	-38.95	34.11	2725.66	-38.83	35.17	NaN
95900	NaN	NaN	2802.11	-38.56	34.09	2708.02	-38.73	31.61	2725.79	-38.52	37.09	NaN
95950	NaN	NaN	2802.62	-38.89	33.61	2708.32	-39.27	29.16	2725.92	-38.73	29.48	NaN
96000	NaN	NaN	2803.14	-38.99	34.25	2708.63	-38.91	31.52	2726.05	-38.64	27.49	NaN
96050	NaN	NaN	2803.66	-38.77	30.04	2708.94	-39.45	28.81	2726.18	-38.47	25.31	NaN
96100	NaN	NaN	2804.17	-38.43	35.12	2709.24	-38.91	32.27	2726.31	-38.52	27.7	NaN
96150	NaN	NaN	2804.69	-38.39	31.17	2709.54	-38.83	29.86	2726.45	-38.66	28.05	NaN
96200	NaN	NaN	2805.21	-39.03	29.71	2709.85	-38.62	34.07	2726.59	-38.89	27.9	NaN
96250	NaN	NaN	2805.74	-38.65	32.45	2710.16	-39.45	40.65	2726.73	-38.91	26.54	NaN
96300	NaN	NaN	2806.26	-38.26	29.89	2710.46	-38.63	29.8	2726.86	-38.89	27.84	NaN
96350	NaN	NaN	2806.8	-38.62	31.76	2710.78	-38.62	29.3	2727	-38.87	29.48	NaN
96400	NaN	NaN	2807.34	-38.05	24.75	2711.09	-38.56	23.84	2727.15	-38.91	28.65	NaN
96450	NaN	NaN	2807.89	-38.27	24.43	2711.41	-38.3	23.26	2727.29	-38.75	27.14	NaN
96500	NaN	NaN	2808.42	-38.22	27.22	2711.72	-38.84	26.6	2727.43	-38.58	26.49	NaN
96550	NaN	NaN	2808.95	-38.27	27.29	2712	-38.55	29.15	2727.57	-38.17	26.31	NaN
96600	NaN	NaN	2809.46	-38.82	30.49	2712.25	-39.02	32.72	2727.69	-38.55	28.94	NaN
96650	NaN	NaN	2809.96	-39.06	28.41	2712.5	-39.93	35.07	2727.81	-38.74	29.57	NaN
96700	NaN	NaN	2810.46	-39.3	29.72	2712.74	-39.2	31.54	2727.94	-39.51	26.77	NaN
96750	NaN	NaN	2810.96	-39.2	35.25	2712.99	-39.03	28.44	2728.06	-39.14	24.8	NaN
96800	NaN	NaN	2811.47	-38.01	30.37	2713.21	-37.66	23.03	2728.18	-38.77	22.82	NaN
96850	NaN	NaN	2811.98	-38.6	22.37	2713.43	-38.97	29.12	2728.31	-38.77	26.33	NaN
96900	NaN	NaN	2812.5	-38.49	28.59	2713.65	-38.64	29.36	2728.43	-38.8	27.45	NaN
96950	NaN	NaN	2813.01	-39.06	30.22	2713.87	-39.03	31.4	2728.55	-38.88	28.91	NaN
97000	NaN	NaN	2813.51	-38.39	28.76	2714.09	-39.15	50.14	2728.67	-38.86	30.44	NaN
97050	NaN	NaN	2814.02	-39.11	29.53	2714.3	-38.84	38.93	2728.79	-38.84	31.53	NaN
97100	NaN	NaN	2814.53	-38.4	28.97	2714.52	-38.81	27.68	2728.91	-38.97	28.41	NaN
97150	NaN	NaN	2815.05	-38.87	27.52	2714.75	-38.75	28.93	2729.04	-38.96	29.2	NaN
97200	NaN	NaN	2815.57	-38.4	28.17	2714.99	-38.71	30.61	2729.17	-38.9	31.62	NaN
97250	NaN	NaN	2816.1	-38.6	29.8	2715.24	-38.63	27.8	2729.31	-38.28	26.25	NaN
97300	NaN	NaN	2816.62	-38.31	24	2715.48	-38.12	22.48	2729.44	-38.21	24.15	NaN
97350	NaN	NaN	2817.16	-38.24	26.34	2715.74	-38.41	25.99	2729.58	-38.45	22.72	NaN
97400	NaN	NaN	2817.69	-38.38	26.27	2716.05	-38.64	24.77	2729.71	-38.56	23.79	NaN
97450	NaN	NaN	2818.24	-38.13	26.88	2716.3	-37.69	23.86	2729.82	-38.56	23.95	NaN
97500	NaN	NaN	2818.77	-37.99	22.25	2716.54	-38.19	18.48	2729.92	-38.49	23.81	NaN
97550	NaN	NaN	2819.31	-37.79	25.62	2716.78	-38.67	21.13	2730.03	-38.55	24.04	NaN
97600	NaN	NaN	2819.83	-39.15	24.11	2717.01	-38.7	22.66	2730.13	-38.7	24.65	NaN
97650	NaN	NaN	2820.35	-38.71	23.03	2717.24	-38.19	24.97	2730.23	-38.58	24.68	NaN
97700	NaN	NaN	2820.86	-38.2	27.39	2717.47	-38.33	26.31	2730.33	-38.31	24.75	NaN
97750	NaN	NaN	2821.38	-38.37	27.16	2717.7	-38.24	26.33	2730.43	-38.27	24.96	NaN
97800	NaN	NaN	2821.9	-38.84	24.12	2717.93	-38.32	24.43	2730.53	-38.16	25.45	NaN
97850	NaN	NaN	2822.41	-38.34	28.65	2718.15	-38.44	21.98	2730.63	-38.18	24.3	NaN
97900	NaN	NaN	2822.93	-38.7	26.93	2718.39	-38.41	21.79	2730.73	-38.24	21.63	NaN
97950	NaN	NaN	2823.45	-38.49	26.52	2718.62	-38.27	26.71	2730.83	-38.27	22.78	NaN
98000	NaN	NaN	2823.96	-38.67	29.14	2718.86	-38.69	28.53	2730.96	-38.34	25.47	NaN
98050	NaN	NaN	2824.48	-38.1	25.3	2719.11	-38.29	22.71	2731.1	-38.35	25.2	NaN
98100	NaN	NaN	2825	-38.39	24.28	2719.36	-38.29	25.61	2731.24	-38.35	24.86	NaN
98150	NaN	NaN	2825.52	-38.41	30.74	2719.62	-38.35	23.44	2731.37	-38.32	24.52	NaN
98200	NaN	NaN	2826.04	-38.62	28.04	2719.87	-38.31	25.41	2731.51	-38.03	29.04	NaN
98250	NaN	NaN	2826.56	-38.18	25.88	2720.12	-38.23	33.46	2731.65	-38.05	28.34	NaN
98300	NaN	NaN	2827.07	-38.82	32.95	2720.37	-38.49	35.01	2731.79	-38.23	24.88	NaN
98350	NaN	NaN	2827.59	-38.45	27.97	2720.62	-38.3	25.42	2731.92	-38.25	23.95	NaN
98400	NaN	NaN	2828.1	-38.45	29.58	2720.87	-38.17	28.13	2732.06	-38.2	23.04	NaN
98450	NaN	NaN	2828.63	-38.22	24.67	2721.12	-38.94	26.91	2732.2	-38.14	21.93	NaN
98500	NaN	NaN	2829.16	-38.38	25.82	2721.38	-38.18	22.6	2732.34	-37.71	15.24	NaN
98550	NaN	NaN	2829.7	-37.76	25.45	2721.64	-37.8	21.68	2732.48	-37.79	18.94	NaN
98600	NaN	NaN	2830.24	-38.19	24.5	2721.9	-37.52	23.36	2732.63	-37.91	21.43	NaN
98650	NaN	NaN	2830.78	-37.96	29.51	2722.17	-37.92	24.13	2732.77	-38.15	20.3	NaN
98700	NaN	NaN	2831.33	-38.26	27.89	2722.43	-38.58	28.68	2732.92	-37.88	21.35	NaN
98750	NaN	NaN	2831.89	-37.78	20.91	2722.71	-37.98	23.73	2733.06	-37.96	21.97	NaN
98800	NaN	NaN	2832.45	-37.61	21.19	2722.98	-37.75	15.57	2733.21	-38.32	22.87	NaN
98850	NaN	NaN	2833.01	-37.29	20.15	2723.25	-37.49	20.35	2733.36	-37.91	19.15	NaN
98900	NaN	NaN	2833.56	-37.94	21.69	2723.52	-38.19	NaN	2733.51	-38.11	18.99	NaN
98950	NaN	NaN	2834.11	-38.2	23.88	2723.78	-37.8	NaN	2733.65	-38.02	18.36	NaN
99000	NaN	NaN	2834.64	-37.76	24.83	2724.04	-37.46	22.63	2733.79	-37.15	15.75	NaN
99050	NaN	NaN	2835.17	-38.66	31.49	2724.3	-37.89	19.98	2733.93	-38.01	18.22	NaN
99100	NaN	NaN	2835.69	-38.53	25.83	2724.55	-37.7	20.83	2734.07	-37.97	18.66	NaN
99150	NaN	NaN	2836.22	-37.75	21.79	2724.81	-37.72	NaN	2734.21	-37.49	18.25	NaN
99200	NaN	NaN	2836.74	-38.44	22.05	2725.06	-37.7	20.86	2734.35	-37.92	17.02	NaN
99250	NaN	NaN	2837.27	-38.1	21.9	2725.31	-37.48	19.97	2734.49	-37.6	17.6	NaN
99300	NaN	NaN	2837.81	-38.27	21.8	2725.58	-37.54	22.55	2734.64	-37.27	18.48	NaN
99350	NaN	NaN	2838.35	-38.01	23.15	2725.84	-37.4	20.59	2734.78	-37.45	19.82	NaN
99400	NaN	NaN	2838.89	-37.62	23.54	2726.1	-37.77	21.95	2734.92	-37.49	19.33	NaN
99450	NaN	NaN	2839.44	-38.07	22.51	2726.37	-37.72	19.24	2735.07	-37.65	18.1	NaN
99500	NaN	NaN	2839.98	-37.69	19.87	2726.63	-38.08	21.95	2735.21	-37.97	16.16	NaN
99550	NaN	NaN	2840.53	-38.28	23.24	2726.9	-38.04	18.05	2735.36	-38.12	17.76	NaN
99600	NaN	NaN	2841.07	-37.98	16.86	2727.16	-37.72	16.93	2735.5	-37.85	16.33	NaN
99650	NaN	NaN	2841.62	-37.59	20.69	2727.42	-37.52	16.63	2735.65	-37.65	16.78	NaN
99700	NaN	NaN	2842.18	-38.03	22.3	2727.7	-38.28	19.15	2735.79	-37.48	18.82	NaN
99750	NaN	NaN	2842.73	-37.68	21.07	2727.96	-37.87	22.18	2735.94	-37.88	19.58	NaN
99800	NaN	NaN	2843.29	-37.47	13.88	2728.23	-37.7	24.6	2736.09	-37.77	20	NaN
99850	NaN	NaN	2843.85	-37.94	15.37	2728.51	-37.71	22.21	2736.24	-37.65	20.06	NaN
99900	NaN	NaN	2844.41	-37.47	17.08	2728.78	-37.72	21.39	2736.39	-37.55	19.52	NaN
99950	NaN	NaN	2844.97	-37.68	18.61	2729.05	-37.81	18.28	2736.53	-37.83	21.21	NaN
