%	"NGRIP, GRIP and GISP2 ?18O and calcium concentration in 50 yrs means on the GICC05modelext timescale"
%
%   Please note that this file has been modified for the SEAMUS tutorial by Bryan Lougheed (duplicate measurements averaged)
%   This file is, therefore, only meant for demonstration purposes for the SEAMUS tutorial and not to be used for research.
%   For the original data, please consult the original excel file by the original authors, which you can download from here: http://www.iceandclimate.nbi.ku.dk/data/
%
%	2	3	4	5	6	7	8	9	10	11	12	13
%Age	NGRIP1 depth	d18O NGRIP1	NGRIP2 depth	d18O NGRIP2	[Ca2+] NGRIP2	GRIP depth	d18O GRIP	[Ca2+] GRIP	GISP2 depth	d18O GISP2	[Ca2+] GISP2	MCE
%(years b2k)	(m)	(?)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(years)
10250	NaN	NaN	1402.82	-35.86	NaN	1520.83	-35.36	6.46	1579.21	-34.85	9.55	88
10300	NaN	NaN	1406.44	-36.22	13.71	1524.77	-35.59	8.06	1583.16	-35.53	9.4	89
10350	NaN	NaN	1410.03	-35.74	14.85	1528.78	-35.51	8.66	1587.15	-35.35	12.05	89
10400	NaN	NaN	1413.48	-36.18	12.39	1532.58	-35.62	6.14	1590.89	-35.6	8.73	89
10450	NaN	NaN	1416.86	-35.91	14.3	1536.46	-35.56	7.21	1594.69	-36	8.02	90
10500	NaN	NaN	1420.22	-36.09	14.63	1540.36	-35.24	8.14	1598.48	-35.74	8.26	90
10550	NaN	NaN	1423.55	-35.64	12	1544.1	-35.69	7.27	1602.1	-35.43	7.51	91
10600	NaN	NaN	1426.93	-35.94	13.52	1547.96	-35.99	7.94	1605.83	-35.86	10.28	91
10650	NaN	NaN	1430.17	-36.19	15.38	1551.8	-35.53	7.69	1609.54	-35.71	10.18	91
10700	NaN	NaN	1433.5	-35.68	14.49	1555.62	-36.1	7.01	1613.19	-35.78	8.88	92
10750	NaN	NaN	1436.75	-36.24	19.57	1559.42	-36.02	8.3	1616.81	-35.93	9.44	92
10800	NaN	NaN	1439.92	-36.31	16.52	1563.11	-35.88	7.42	1620.3	-36.24	9.41	92
10850	NaN	NaN	1443.12	-36.19	16.22	1566.74	-36.37	8.35	1623.74	-35.78	11.08	93
10900	NaN	NaN	1446.33	-37.13	15.01	1570.46	-36.52	9.47	1627.27	-35.99	12.27	93
10950	NaN	NaN	1449.27	-37.21	15.2	1574.05	-36.57	8.66	1630.6	-36.47	8.89	93
11000	NaN	NaN	1452.29	-37.12	16.15	1577.52	-36.82	9.97	1633.83	-36.75	9.93	94
11050	NaN	NaN	1455.35	-36.7	11.88	1581.08	-36.21	9.95	1637.17	-36.53	9.77	94
11100	NaN	NaN	1458.38	-36.95	12.94	1584.66	-36.68	10.61	1640.53	-36.29	10.41	94
11150	NaN	NaN	1461.38	-36.66	11.59	1588.2	-36.8	8.33	1643.85	-36.47	11.2	95
11200	NaN	NaN	1464.37	-36.98	14.23	1591.63	-36.92	9.72	1647.06	-36.51	10.7	95
11250	NaN	NaN	1467.31	-37.16	12.06	1594.94	-36.77	10.1	1650.17	-36.88	10.85	95
11300	NaN	NaN	1470.36	-36.54	12.79	1598.57	-36.16	8.93	1653.56	-36.03	10.85	96
11350	NaN	NaN	1473.27	-37.04	13.2	1601.93	-36.84	13.6	1656.76	-36.63	13.1	96
11400	NaN	NaN	1476.16	-37.43	13.23	1605.31	-37.64	12.12	1659.91	-36.69	13.88	96
11450	NaN	NaN	1478.66	-37.93	23.74	1608.13	-37.79	18.74	1662.59	-37.95	23.31	97
11500	NaN	NaN	1481.24	-37.99	19.77	1611.14	-37.44	19.18	1665.44	-37.28	18.18	97
11550	NaN	NaN	1484.07	-37.2	14.28	1614.36	-36.92	17.1	1668.53	-36.78	16.33	98
11600	NaN	NaN	1486.95	-36.77	13.76	1617.83	-36.36	9.15	1671.84	-36.36	12.01	98
